Region,Country,Location,Longitude,Latitude,Source,Primary Reason for Exclusion,Additional Information,Reference(s),,,,,,,,,
Latin America,Brazil,Tocantins: Palmas,NA,NA,Google,insufficient information about assay,,https://ww2.uft.edu.br/index.php/ultimas-noticias/28335-uft-e-prefeitura-de-palmas-realizam-pesquisa-de-anticorpos-para-coronavirus-na-populacao,page 38: https://coronavirus.palmas.to.gov.br/storage/reports/tWmPBmF3uQRGK4FHcluNOWmfnrjS16x1PUDhknMZ.pdf,WONDFO assay possibly used:  https://www.to.gov.br/saude/noticias/governo-inicia-a-distribuicao-dos-testes-rapidos-para-municipios/6shkhvieqxz7,,,,,,,
Latin America,Ecuador,Atahualpa,-68.09,-19.12,SeroTracker,non-representative sample,excludes those younger than 40,https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciaa1055/5876901,https://www.sciencedirect.com/science/article/pii/S1201971220306305#bib0030,phase 2: https://www.tandfonline.com/doi/full/10.1080/20477724.2020.1826152,,,,,,,
Latin America,Honduras,41 municipalities,-86.5,15,SeroTracker,non-representative sample,non-probabilistic selection of municipalities + localities,https://revistas.ucr.ac.cr/index.php/psm/article/view/43261/46175,,,,,,,,,
Latin America,Mexico,Nuevo Leon,-99.92,-25.55,SeroTracker,non-representative sample,selection of those at a subway,https://onlinelibrary.wiley.com/doi/10.1002/jmv.27131,,,,,,,,,
Latin America,Nicaragua,León (within Perla Maria Norori Health District),-86.9,12.45,SeroTracker,non-representative sample,narrow birth cohort,https://www.medrxiv.org/content/10.1101/2021.02.25.21252447v1.full,cohort description: https://journals.lww.com/pidj/Fulltext/2021/03000/Risk_Factors_and_Clinical_Profile_of.9.aspx?casa_token=SWV8SEc6E-AAAAAA:a3cN9ihuRuuNK4NeG-EA_0tYskkuOL66VH6VDWaTo5TAaJVcVTsWqGDqanBZCnuzddY_GrTy-C6DcaUCrk_Bomvl,,,,,,,,
Latin America,Panama,10 townships,-80,9,Google,insufficient information about serology results,,http://www.gorgas.gob.pa/wp-content/uploads/2021/03/Seroprevalencia-del-SARS-CoV-2-en-Panama_Informe-Preliminar_1.pdf,https://twitter.com/JeanCarrPaul/status/1367135723401457664,http://www.gorgas.gob.pa/,https://twitter.com/JeanCarrPaul/status/1367112163266068483,https://twitter.com/JeanCarrPaul/status/1367136070635319297,https://www.youtube.com/watch?v=qae_v2GTKFY&t=46s,,,,
Latin America,Peru,Ucayali,-75,-7.35,Google,insufficient information about sample design,,https://www.facebook.com/region.deucayali/posts/2800216496963368,https://impetu.pe/2020/12/10/el-50-de-los-ucayalinos-no-se-habria-contagiado-de-covid-19/,https://www.dge.gob.pe/estudio_prevalencia_covid/,https://www.facebook.com/DiresaUcayali2020/videos/trabajo_covid19-la-diresa-ucayali-a-trav%C3%A9s-del-%C3%A1rea-de-epidemiolog%C3%ADa-realizar%C3%A1-e/699635314263728/,http://www.regionucayali.gob.pe/index.php/goreu-informa/notas-de-prensa/item/1095-investigaran-sobre-cuanto-afecto-el-covid-19-en-la-region-ucayali,https://gestion.pe/peru/en-loreto-y-ucayali-seroprevalencia-de-coronavirus-superaria-el-doble-del-promedio-nacional-noticia/?ref=gesr,http://www.regionucayali.gob.pe/index.php/goreu-informa/notas-de-prensa/item/901-minsa-realizara-estudio-de-prevalencia-en-ucayali,,,
Europe,U.K.,"England (REACT-2), national",NA,NA,SeroTracker,advanced economy,,https://www.nature.com/articles/s41467-021-21237-w,https://www.thelancet.com/journals/lanepe/article/PIIS2666-7762(21)00075-2/fulltext,https://www.medrxiv.org/content/10.1101/2020.08.12.20173690v2,https://www.imperial.ac.uk/medicine/research-and-impact/groups/react-study/the-react-2-programme/,https://www.medrxiv.org/content/10.1101/2020.10.26.20219725v1.full,https://www.imperial.ac.uk/medicine/research-and-impact/groups/react-study/real-time-assessment-of-community-transmission-findings/,https://www.imperial.ac.uk/medicine/research-and-impact/groups/react-study/,https://www.bmj.com/content/372/bmj.n423,,
Europe,U.K.,"England (ONS), national",NA,NA,SeroTracker,advanced economy,,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19infectionsurveyantibodydatafortheuk/3february2021,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/coronaviruscovid19infectionsurveypilot/28may2020#antibody-tests-for-covid-19,https://www.ndm.ox.ac.uk/covid-19/covid-19-infection-survey/results/weekly-updates,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/methodologies/covid19infectionsurveypilotmethodsandfurtherinformation,https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(20)30282-6/fulltext,,,,,
Europe,U.K.,"Great Britain (UK BioBank), 3 national studies",NA,NA,SeroTracker,advanced economy,,figure 1 and page 16:  https://www.ukbiobank.ac.uk/media/x0nd5sul/ukb_serologystudy_report_revised_6months_jan21.pdf,https://www.gov.uk/government/statistics/uk-biobank-covid-19-antibody-study-final-results,https://www.ukbiobank.ac.uk/media/s3af0k5q/ukb_serologystudy_month1_report.pdf,https://www.ukbiobank.ac.uk/learn-more-about-uk-biobank/covid-19-hub,https://www.ukbiobank.ac.uk/enable-your-research/about-our-data/covid-19-data,https://www.gov.uk/government/publications/uk-biobank-covid-19-seroprevalence-study-round-1-results/uk-biobank-covid-19-seroprevalence-study-round-1-results#future-results,,,,
Europe,Ireland,national,NA,NA,SeroTracker,advanced economy,,https://www.hpsc.ie/a-z/respiratory/coronavirus/novelcoronavirus/scopi/,seroreversion follow-up: https://academic.oup.com/jid/advance-article/doi/10.1093/infdis/jiab346/6311910,,,,,,,,
Europe,Jersey,national,NA,NA,SeroTracker,advanced economy,,https://www.gov.je/SiteCollectionDocuments/Government%20and%20administration/R%20Prevalence%20of%20antibodies%202020508%20SJ.pdf,https://www.gov.je/News/2020/Pages/Antibody-survey-report-published.aspx,https://www.gov.je/Health/Coronavirus/Health/Pages/COVID19TestingProgramme.aspx,,,,,,,
Europe,U.K.,an orthodox Jewish community,NA,NA,SeroTracker,advanced economy,insufficient information about sample design,https://www.thelancet.com/journals/lanepe/article/PIIS2666-7762(21)00104-6/fulltext,https://www.medrxiv.org/content/10.1101/2021.02.01.21250839v1.full-text,,,,,,,,
Europe,U.K.,"Northern Ireland (ONS), national",NA,NA,SeroTracker,advanced economy,,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19infectionsurveyantibodydatafortheuk/3february2021,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19infectionsinthecommunityinengland/november2020,https://www.ndm.ox.ac.uk/covid-19/covid-19-infection-survey/results/weekly-updates,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/methodologies/covid19infectionsurveypilotmethodsandfurtherinformation,https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(20)30282-6/fulltext,,,,,
Europe,U.K.,"Scotland (ONS), national",NA,NA,SeroTracker,advanced economy,,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19infectionsurveyantibodydatafortheuk/3february2021,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19infectionsinthecommunityinengland/november2020,https://www.ndm.ox.ac.uk/covid-19/covid-19-infection-survey/results/longer-articles,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/methodologies/covid19infectionsurveypilotmethodsandfurtherinformation,https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(20)30282-6/fulltext,,,,,
Europe,U.K.,"Wales (ONS), national",NA,NA,SeroTracker,advanced economy,,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19infectionsurveyantibodydatafortheuk/3february2021,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19infectionsinthecommunityinengland/november2020,https://www.ndm.ox.ac.uk/covid-19/covid-19-infection-survey/results/weekly-updates,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/methodologies/covid19infectionsurveypilotmethodsandfurtherinformation,https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(20)30282-6/fulltext,,,,,
Europe,Denmark,national (SSI),NA,NA,SeroTracker,advanced economy,,https://link.springer.com/article/10.1007%2Fs10654-021-00796-8,https://www.medrxiv.org/content/10.1101/2021.04.07.21254703v1,https://files.ssi.dk/notat_foreloebige_resultater_pilotundersoegelse_seropraevalens_COVID-19_29_6_2020,https://covid19.ssi.dk/overvagningsdata/undersoegelser/praevalensundersogelsen,,,,,,
Europe,Denmark,"national (""We Test Denmark"")",NA,NA,Twitter,advanced economy,,adjust sensitivity by proportion of seropositives among PCR-positives:  https://www.medrxiv.org/content/10.1101/2021.08.10.21261777v1,https://www.vitesterdanmark.dk/,https://www.ssi.dk/aktuelt/nyheder/2020/nasten-en-halv-million-danskere-deltog-i-vi-tester-danmark-nu-gar-fase-2-af-projektet-gar-i-gang,https://helsefonden.dk/en/node/550,https://hjerteforeningen.dk/2020/10/vi-tester-danmark-deltag-og-goer-en-forskel-for-ogsaa-hjertepatienterne/,,,,,
Europe,Denmark,Faroe Islands,NA,NA,SeroTracker,advanced economy,,https://wwwnc.cdc.gov/eid/article/26/11/20-2736_article,seroreversion follow-up: https://www.medrxiv.org/content/10.1101/2021.04.19.21255720v2,,,,,,,,
Europe,Finland,5 hospital regions,NA,NA,Twitter,advanced economy,,weeks 16 - 35  :  https://web.archive.org/web/20201028052918/https://www.thl.fi/roko/cov-vaestoserologia/sero_report_weekly_en.html,https://thl.fi/en/web/thlfi-en/-/thl-publishes-weekly-results-of-population-study-on-coronavirus-antibodies,https://thl.fi/en/web/thlfi-en/research-and-development/research-and-projects/serological-population-study-of-the-coronavirus-epidemic/immunological-methods-used-in-the-study,discussed in: https://www.medrxiv.org/content/10.1101/2020.07.13.20153163v3.full,seroreversion for the neutralization assay: https://thl.fi/en/web/thlfi-en/-/thl-s-study-majority-of-people-who-have-had-a-coronavirus-infection-retain-antibodies-for-over-six-months,,,,,
Europe,Iceland,greater Reykjavik area (random sample only),NA,NA,SeroTracker,advanced economy,,"random sample on page 9, table S4, and table S6 of supplementary appendix 1:  https://www.nejm.org/doi/full/10.1056/NEJMoa2026116",,,,,,,,,
Europe,Norway,national,NA,NA,SeroTracker,advanced economy,,https://www.medrxiv.org/content/10.1101/2021.03.23.21253730v1.full,https://uit.no/nyheter/artikkel?p_document_id=725394,https://uit.no/project/koronaimmunitet,https://www.norceresearch.no/en/news/norce-researchers-contribute-to-the-mapping-of-covid-19-prevalence-and-changes-in-norway,https://norwaytoday.info/everyday/arctic-university-launches-antibody-study-hopes-to-determine-lethality-of-the-virus-in-norway/,,,,,
Europe,Norway,Oslo,NA,NA,Twitter,advanced economy,non-representative sample,week 30 and earlier  : https://web.archive.org/web/20210124021901/https://www.fhi.no/studier/prevalensundersokelser-korona/resultat---moba/,https://www.fhi.no/studier/prevalensundersokelser-korona/introduksjon-til-koronastudiene/,https://www.fhi.no/studier/norflu-korona-antistoff/,https://twitter.com/F_Lund_Johansen/status/1260824310148730881,https://helsedata.no/no/forvaltere/folkehelseinstituttet/moba/,,,,,
Europe,Sweden,Norrbotten County,NA,NA,SeroTracker,advanced economy,,https://web.archive.org/web/20200623071108/http://norrbotten.se/sv/Halsa-och-sjukvard/Smittskydd-i-Norrbotten/Information-om-nya-coronaviruset/The-seroprevalence-of-covid-19-antibodies-in-Norrbotten-County-Sweden/,https://www.norrbotten.se/Halsa-och-sjukvard/Smittskydd-i-Norrbotten/Information-om-nya-coronaviruset/,,,,,,,,
Europe,Sweden,Stockholm County,NA,NA,SeroTracker,advanced economy,,https://www.nature.com/articles/s41467-021-23893-4,https://www.medrxiv.org/content/10.1101/2020.07.01.20143966v1.full,https://www.kth.se/en/aktuellt/nyheter/10-procent-av-stockholmarna-smittade-1.980727,,,,,,,
Europe,Sweden,Stockholm County: Norra Djurgårdsstaden + Tensta areas,NA,NA,SeroTracker,advanced economy,non-representative sample,https://www.tandfonline.com/doi/full/10.1080/20008686.2020.1806505,,,,,,,,,
Europe,Sweden,Stockholm County: Rinkeby-Kista district,NA,NA,Twitter,advanced economy,,https://www.folkhalsomyndigheten.se/publicerat-material/publikationsarkiv/f/forekomsten-av-antikroppar-mot-sars-cov-2-i-stadsdelen-rinkeby-kista-stockholm-2224-juni-2020/,https://www.folkhalsomyndigheten.se/contentassets/2cf102cd299c4382b9a0447dc0626356/forekomsten-antikroppar-rinkeby-kista.pdf,https://www.sll.se/verksamhet/halsa-och-vard/nyheter-halsa-och-vard/2020/06/antikroppstestning-genomfors-i-rinkeby-kista/?_t_id=jn7cuiNjRit3scHO1EqPDA%3d%3d&_t_uuid=FsBLb5TmQNSPZIw7acBlVw&_t_q=Rinkeby-Kista+covid-19&_t_tags=language%3asv%2csiteid%3a8824540f-e7eb-44a0-94f3-c48a0b63798c%2candquerymatch&_t_hit.id=PublicWebv2_Web_Apps_News_NewsItemPageType/_1cf3623a-38d8-4081-a402-35234d0ff5d0_sv&_t_hit.pos=1,,,,,,,
Europe,Austria,national,NA,NA,SeroTracker,advanced economy,insufficient information about assay,http://www.statistik.at/web_de/presse/124959.html,http://www.statistik.at/wcm/idc/idcplg?IdcService=GET_PDF_FILE&dDocName=124957,http://www.statistik.at/web_de/statistiken/menschen_und_gesellschaft/gesundheit/covid19/124846.html,http://www.statistik.at/wcm/idc/idcplg?IdcService=GET_PDF_FILE&dDocName=124958,https://www.bmbwf.gv.at/Ministerium/Presse/20201211.html,https://www.meduniwien.ac.at/web/en/ueber-uns/news/detailseite/2020/news-im-dezember-2020/47-der-oesterreichischen-bevoelkerung-hatten-mitte/ende-oktober-2020-antikoerper-gegen-sars-cov-2/,,,,
Europe,Austria,narrow selection of communities,NA,NA,Twitter,advanced economy,"insufficient information on assay, sample design",http://web.archive.org/web/20200508035617/https://www.bmbwf.gv.at/Themen/Forschung/Aktuelles/COVID-19-Studie.html,http://www.statistik.at/web_de/frageboegen/private_haushalte/validierungsstudie/index.html,http://www.statistik.at/web_de/presse/123051.html,,,,,,,
Europe,Austria,Ischgl,NA,NA,SeroTracker,advanced economy,,https://www.nature.com/articles/s43856-021-00007-1,https://www.medrxiv.org/content/10.1101/2020.08.20.20178533v1,https://videocast.nih.gov/watch%3D38084,https://www.ncbi.nlm.nih.gov/nlmcatalog/101769642,https://www.i-med.ac.at/mypoint/news/746359.html,later phase (not included due to <50% of population): https://www.medrxiv.org/content/10.1101/2021.02.19.21252089v1.full-text,,,,
Europe,Austria,Vienna,NA,NA,SeroTracker,advanced economy,,https://www.nature.com/articles/s41598-021-89711-5,,,,,,,,,
Europe,Austria,Weißenkirchen in der Wachau,NA,NA,SeroTracker,advanced economy,,https://www.medrxiv.org/content/10.1101/2020.11.03.20219121v1.full,https://www.medrxiv.org/content/10.1101/2020.11.20.20232140v1.full,,,,,,,,
Europe,Croatia,National,15.5,45.16,Google,non-representative sample,,personal communication from the authors,https://www.mdpi.com/2076-0817/10/6/774/htm,,,,,,,,
Europe,Czech Republic,6 cities,NA,NA,Twitter,advanced economy,,https://web.archive.org/web/20201104174250/https://covid-imunita.uzis.cz/res/file/prezentace/20200506-dusek.pdf,https://web.archive.org/web/20200629230433/https://covid-imunita.uzis.cz/index.php?pg=o-studii,https://covid-imunita.uzis.cz/res/file/dokumenty/protokol-studie.pdf,https://english.radio.cz/czech-study-shows-extremely-low-level-collective-immunity-covid-19-virus-8101001,https://clinicaltrials.gov/ct2/show/NCT04401085,,,,,
Europe,Estonia,national,NA,NA,SeroTracker,advanced economy,,https://www.ut.ee/et/teadus/koroonaviiruse-levimuse-uuring-covid-19-aktiivne-seire#Antikehad,NOT THE SAME AS THIS RESIDUAL SERA STUDY: https://www.medrxiv.org/content/10.1101/2021.06.06.21258406v1,,,,,,,,
Europe,Estonia,Saaremaa + Tallinn,NA,NA,SeroTracker,advanced economy,unclear if GP practices cover a representative majority of the population in both locations,https://www.sciencedirect.com/science/article/pii/S0264410X2101001X,https://www.medrxiv.org/content/10.1101/2020.10.21.20216820v1.full,https://www.ctm.ee/et/covid-19/koroonaviirus-sars-cov-2-antikehade-serolevimusuuring-eestis-kahe-piirkonna-testuuring/,https://meditsiiniteadused.ut.ee/et/uudised/koroonaviiruse-levimus-arvatust-kumme-korda-suurem,sero-reversion:  https://www.ctm.ee/et/covid-19/korosero-est-1-jareluuring/,sero-reversion:  https://meditsiiniteadused.ut.ee/et/uudised/tartu-ulikooli-teadlaste-uuringust-selgus-sars-cov-2-antikehade-pusivus,,,,
Europe,Lithuania,"Vilnius, Kaunas, Klaipeda, Ukmerge, Taurage, Zarasai",NA,NA,SeroTracker,advanced economy,,https://www.journals.vu.lt/AML/article/view/22344,https://sam.lrv.lt/lt/naujienos/pristatyti-pirminiai-populiacijos-tyrimo-rezultatai,https://www.lrt.lt/en/news-in-english/19/1230480/under-3-percent-of-lithuanian-population-had-coronavirus-study,https://www.lrt.lt/mediateka/irasas/2000121174/tyrimas-atskleide-kad-koronavirusu-persirgo-iki-triju-procentu-tirtu-savivaldybiu-gyventoju,assay may have lower specificity than the study claimed: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7734239/pdf/rpsp-44-e149.pdf,,,,,
Europe,Poland,Pozna,14.6,51.85,SeroTracker,non-representative sample,,https://www.mdpi.com/2076-393X/9/6/541/htm,https://www.medrxiv.org/content/10.1101/2021.03.29.21254544v1.full,,,,,,,,
Europe,Slovenia,national,NA,NA,SeroTracker,advanced economy,,https://www.sciencedirect.com/science/article/pii/S1198743X21001440,http://file.biolab.si/files/2020-12-11-covid-19-slovenija-porocilo-koncno.pdf,https://www.researchgate.net/publication/342873067_Low_Prevalence_of_Active_and_Past_SARS-CoV-2_Infections_in_Slovenia_A_Nationwide_Population_Study_on_Probability-Based_Sample,https://www.gov.si/en/news/2020-05-06-first-study-carried-out-on-herd-immunity-of-the-population-in-the-whole-territory-of-slovenia/,https://clinicaltrials.gov/ct2/show/NCT04376996,https://www.gov.si/en/news/2020-04-24-national-covid-19-prevalence-survey/,"PCR, but used same sampling framework: https://www.clinicalmicrobiologyandinfection.com/article/S1198-743X(20)30419-5/fulltext",,,
Europe,Russia,National (including 9 subnational studies),37.6,55.75,SeroTracker,non-representative sample,active recruitment of volunteers online; unclear whether >35% of sample is male,https://www.iimmun.ru/iimm/article/view/1684#,https://www.mdpi.com/1999-4915/13/8/1648/htm,,,,,,,,
Europe,Russia,Irkutsk region,NA,NA,SeroTracker,non-representative sample,active recruitment of volunteers online; unclear whether >35% of sample is male,https://journal.microbe.ru/jour/article/view/1370,,,,,,,,,
Europe,Russia,Kaliningrad region,NA,NA,SeroTracker,non-representative sample,active recruitment of volunteers online; unclear whether >35% of sample is male,https://journal.niidi.ru/jofin/article/view/1145,,,,,,,,,
Europe,Russia,"Leningrad region, excludes St. Petersburg",NA,NA,SeroTracker,non-representative sample,active recruitment of volunteers online; unclear whether >35% of sample is male,https://journal.microbe.ru/jour/article/view/1371/1150,https://journal.microbe.ru/jour/article/view/1371,,,,,,,,
Europe,Russia,Murmansk region,NA,NA,SeroTracker,non-representative sample,active recruitment of volunteers online; unclear whether >35% of sample is male,https://hiv.bmoc-spb.ru/jour/article/view/605#,,,,,,,,,
Europe,Russia,Moscow,NA,NA,SeroTracker,non-representative sample,active recruitment of volunteers online; unclear whether >35% of sample is male,https://www.phdynasty.ru/en/catalog/magazines/infectious-diseases/2020/volume-18-issue-4/40419,,,,,,,,,
Europe,Russia,Saratov region,NA,NA,Google,non-representative sample,active recruitment of volunteers online; unclear whether >35% of sample is male,https://journal.microbe.ru/jour/article/view/1413?locale=en_US,,,,,,,,,
Europe,Russia,St. Petersburg,NA,NA,SeroTracker,non-representative sample,active recruitment of volunteers online; unclear whether >35% of sample is male,https://journal.microbe.ru/jour/article/view/1372/1151#,https://journal.microbe.ru/jour/article/view/1372,https://covid19-preprints.microbe.ru/article/56,https://covid19-preprints.microbe.ru/files/62,,,,,,
Europe,Russia,Tatarstan,NA,NA,SeroTracker,non-representative sample,active recruitment of volunteers online; unclear whether >35% of sample is male,https://microbiol.elpub.ru/jour/article/view/940?locale=en_US,,,,,,,,,
Europe,Russia,Tyumen region,NA,NA,SeroTracker,non-representative sample,active recruitment of volunteers online; unclear whether >35% of sample is male,https://microbiol.elpub.ru/jour/article/view/890?locale=en_US#,,,,,,,,,
Europe,Germany,national (Corona-BUND / Forsa),NA,NA,SeroTracker,advanced economy,,https://www.ifo.de/publikationen/2020/monographie-autorenschaft/die-deutschen-und-corona,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/AK-Studien/AKS_bestehendeKohorten.html,https://www.ifo.de/node/58999,https://pi-healthsolutions.com/de/forschung-entwicklung/,,,,,,
Europe,Germany,national (SOEP),NA,NA,SeroTracker,advanced economy,,https://jech.bmj.com/content/early/2021/09/27/jech-2021-217653,https://www.medrxiv.org/content/10.1101/2021.06.21.21259001v1.full-text,,,,,,,,
Europe,Germany,5 counties,NA,NA,SeroTracker,advanced economy,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3834300,https://www.medrxiv.org/content/10.1101/2021.05.04.21256597v1.full-text,https://www.rki.de/DE/Content/Service/Presse/Pressemitteilungen/2020/05_2020.html,https://hzi-c19-antikoerperstudie.de/,,,,,,
Europe,Germany,Baden-Württemberg: Kupferzell,NA,NA,SeroTracker,advanced economy,,https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.47.2001752,https://www.rki.de/DE/Content/Gesundheitsmonitoring/Studien/cml-studie/Factsheet_Kupferzell.html,https://www.rki.de/EN/Content/infections/epidemiology/outbreaks/COVID-19/AK-Studien-english/Sero_General.html,https://www.rki.de/EN/Content/Health_Monitoring/Health_Reporting/GBEDownloadsJ/JoHM_S5_2020_Study_protocol_CORONA_MONITORING_lokal.pdf?__blob=publicationFile,,,,,,
Europe,Germany,Bavaria: Bad Feilnbach ,NA,NA,SeroTracker,advanced economy,,https://www.rki.de/DE/Content/Gesundheitsmonitoring/Studien/cml-studie/Factsheet_Bad_Feilnbach.html,https://www.rki.de/EN/Content/infections/epidemiology/outbreaks/COVID-19/AK-Studien-english/Sero_General.html,https://www.rki.de/EN/Content/Health_Monitoring/Health_Reporting/GBEDownloadsJ/JoHM_S5_2020_Study_protocol_CORONA_MONITORING_lokal.pdf?__blob=publicationFile,,,,,,,
Europe,Germany,Bavaria: Munich,NA,NA,SeroTracker,advanced economy,,https://www.mdpi.com/1660-4601/18/7/3572/htm,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-021-06589-4,http://www.klinikum.uni-muenchen.de/Abteilung-fuer-Infektions-und-Tropenmedizin/download/de/KoCo19/20201207_KoCo10_Epi.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3745128,http://www.klinikum.uni-muenchen.de/Abteilung-fuer-Infektions-und-Tropenmedizin/de/COVID-19/KoCo19/index.html,http://www.klinikum.uni-muenchen.de/Abteilung-fuer-Infektions-und-Tropenmedizin/de/COVID-19/KoCo19/FAQ/index.html,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-020-09164-9,https://www.medrxiv.org/content/10.1101/2021.01.13.21249735v1,,
Europe,Germany,Bavaria: Straubing,NA,NA,SeroTracker,advanced economy,,https://www.rki.de/DE/Content/Gesundheitsmonitoring/Studien/cml-studie/Factsheet_Straubing.html,https://www.rki.de/EN/Content/infections/epidemiology/outbreaks/COVID-19/AK-Studien-english/Sero_General.html,https://www.rki.de/EN/Content/Health_Monitoring/Health_Reporting/GBEDownloadsJ/JoHM_S5_2020_Study_protocol_CORONA_MONITORING_lokal.pdf?__blob=publicationFile,,,,,,,
Europe,Germany,Bavaria: Tirschenreuth district,NA,NA,SeroTracker,advanced economy,,https://www.mdpi.com/1999-4915/13/6/1118/htm,https://www.medrxiv.org/content/10.1101/2021.03.29.21254343v1.full-text,https://www.uk-erlangen.de/presse/pressemitteilungen/ansicht/detail/covid-19-immunitaet-im-landkreis-tirschenreuth-1/,https://www.med.fau.de/2020/08/24/covid-19-immunitaet-im-landkreis-tirschenreuth/,https://www.kreis-tir.de/buergerservice/aktuelles/news/news/detail/News/erste-runde-der-blutabnahmen-erfolgreich-abgeschlossen/,https://www.uni-regensburg.de/pressearchiv/pressemitteilung/1066465.html,https://www.kreis-tir.de/fileadmin/user_upload/Landratsamt/20-06-15_Pressetext_AK_Studie_Tirschenreuth.pdf,https://www.kreis-tir.de/fachbereiche/gesundheitsamt/informationen-zum-corona-virus/veroeffentlichungen/,https://www.rki.de/EN/Content/infections/epidemiology/outbreaks/COVID-19/AK-Studien-english/Sero_General.html,
Europe,Germany,Bavaria: Würzburg,NA,NA,Google,advanced economy,insufficient information about sample design,https://www.uni-wuerzburg.de/aktuelles/einblick/single/news/ergebnisse-aus-staab-covid/,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/AK-Studien/AKS_bestehendeKohorten.html,https://www.ukw.de/behandlungszentren/dzhi/ambulante-behandlung/staab-covid-programm/,,,,,,,
Europe,Germany,Berlin: Mitte,NA,NA,SeroTracker,advanced economy,,https://www.rki.de/DE/Content/Gesundheitsmonitoring/Studien/cml-studie/Factsheet_Berlin-Mitte.html,https://www.rki.de/EN/Content/infections/epidemiology/outbreaks/COVID-19/AK-Studien-english/Sero_General.html,https://www.rki.de/EN/Content/Health_Monitoring/Health_Reporting/GBEDownloadsJ/JoHM_S5_2020_Study_protocol_CORONA_MONITORING_lokal.pdf?__blob=publicationFile,,,,,,,
Europe,Germany,North Rhine-Westphalia: Bonn,NA,NA,SeroTracker,advanced economy,excludes those younger than 30,https://www.nature.com/articles/s41467-021-22351-5,https://www.medrxiv.org/content/10.1101/2020.08.24.20181206v1,,,,,,,,
Europe,Germany,North Rhine-Westphalia: Gangelt,NA,NA,SeroTracker,advanced economy,,https://www.nature.com/articles/s41467-020-19509-y,https://www.medrxiv.org/content/10.1101/2020.05.04.20090076v2,,,,,,,,
Europe,Germany,Saarland,NA,NA,Google,advanced economy,insufficient information about assay,https://www.cdu-fraktion-saar.de/erste-bilanz-der-antikoerperstudie-saar-vorgestellt/,https://www.sr.de/sr/home/nachrichten/politik_wirtschaft/zwischenergebnis_antikoerperstudie_saarland_100.html,https://www.sr.de/sr/home/nachrichten/politik_wirtschaft/antikoerperstudie_saarland_startet_100.html,https://www.uniklinikum-saarland.de/de/einrichtungen/kliniken_institute/infektionsmedizin/virologie/saarcops/,https://www.rki.de/EN/Content/infections/epidemiology/outbreaks/COVID-19/AK-Studien-english/Sero_General.html,,,,,
Europe,Germany,Thuringia: Neustadt-am-Rennsteig,NA,NA,SeroTracker,advanced economy,,https://www.sciencedirect.com/science/article/pii/S1198743X20307059?via%3Dihub,https://www.medrxiv.org/content/10.1101/2020.07.15.20154112v1,,,,,,,,
Europe,France,national,NA,NA,SeroTracker,advanced economy,,https://www.medrxiv.org/content/10.1101/2021.02.24.21252316v1.full-text,https://drees.solidarites-sante.gouv.fr/etudes-et-statistiques/publications/etudes-et-resultats/article/en-mai-2020-4-5-de-la-population-vivant-en-france-metropolitaine-a-developpe,https://web.archive.org/web/20201123191536/https://drees.solidarites-sante.gouv.fr/IMG/pdf/er1167-en.pdf,used in modelling:  https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(21)00064-5/fulltext,,,,,,
Europe,France,Bouches-du-Rhône (Blood Establishment),NA,NA,Google,advanced economy,insufficient information about sample design,https://www.mdpi.com/2077-0383/10/13/2942/htm,,,,,,,,,
