location,region,country,source,reason(s) for exclusion,citations,,,,,,,,,
São Paulo state: Cajamar,Latin America,Brazil,SeroTracker,non-representative sample (sampling shoppers),https://cajamar.sp.gov.br/noticias/2020/08/12/secretaria-de-saude-divulga-balanco-da-pesquisa-de-busca-ativa-de-anticorpos-para-sars-cov-2/,https://cajamar.sp.gov.br/noticias/2020/07/02/pesquisa-de-soroprevalencia-da-covid-19-fara-a-segunda-fase-de-exames-em-cajamar-e-regiao/,,,,,,,,
São Paulo state: Campinas,Latin America,Brazil,SeroTracker,Wondfo,https://covid-19.campinas.sp.gov.br/sites/covid-19.campinas.sp.gov.br/files/pesquisas/I-Inquerito-soroepidemiologico-covid-19-campinas-2020.pdf,https://covid-19.campinas.sp.gov.br/prefeitura-de-campinas-apresenta-segundo-inqu-rito-sorol-gico-da-covid-19,from 23:41 - 53:38 : https://www.youtube.com/watch?v=ZK4VX1QqUCU&t=1421s,,,,,,,
São Paulo state: Ribeirão Preto,Latin America,Brazil,SeroTracker,Wondfo,https://www.scielo.br/j/rsbmt/a/Yq5z8RHzZsJXHR5XwsnjTgh/?lang=en,,,,,,,,,
São Paulo state: São Carlos,Latin America,Brazil,Google,insufficient information on assay,https://www.sciencedirect.com/science/article/pii/S1413867020302890?via%3Dihub,https://digitalposter.com.br/infectologia-paulista/aula.php?id=102,pages 18 - 19: http://servicos.saocarlos.sp.gov.br/licitacao/arquivos-resumos/06-08-2020-06:09:20-pm-8890-2215--Resumo-.pdf,,,,,,,
"São Paulo state: São Paulo city, Baixada Santista Metropolitan Area",Latin America,Brazil,SeroTracker,Wondfo,https://preprints.scielo.org/index.php/scielo/preprint/view/1270,https://www.medrxiv.org/content/10.1101/2020.08.28.20184010v1,https://www.unifesp.br/reitoria/dci/releases/item/4570-estudo-inedito-reune-dados-sobre-sars-cov-2-na-baixada-santista,https://www.santos.sp.gov.br/static/files_www/files/portal_files/epicobs-resultados-fase-1-preliminares-04-05-20_3.pdf,,,,,,
São Paulo state: São Paulo city (portion of Paraisópolis neighborhood),Latin America,Brazil,Google,unclear if FHS coverage (or registration with a PHC unit) includes most of the population or a representative sample,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0255412,,,,,,,,,
Sergipe,Latin America,Brazil,SeroTracker,Wondfo,https://doi.org/10.1017/S0950268821001163,https://www.researchgate.net/publication/350976274_Evolucao_da_Prevalencia_de_Infeccao_por_SARS-CoV-2_em_Sergipe_Resultados_da_Terceira_Fase_18_de_fevereiro_a_30_de_marco_de_2021,OUTDATED: http://radioufs.ufs.br/conteudo/65751-ufs-apresenta-resultados-da-primeira-fase-de-testes-da-covid-19-no-ambito-do-projeto-episergipe,OUTDATED: http://radioufs.ufs.br/uploads/content_attach/path/30299/Nota_T_cnica_1a_Fase_do_EpiSergipe_20_08.pdf,OUTDATED: http://www.ufs.br/conteudo/66456-ufs-apresenta-resultados-da-segunda-fase-de-testes-da-covid-19-no-ambito-do-projeto-episergipe,OUTDATED: http://www.ufs.br/conteudo/66971-projeto-episergipe-conclui-terceira-fase-de-testes-da-covid-19-em-15-municipios,,,,
Sergipe: 10 most populous cites,Latin America,Brazil,SeroTracker,non-representative sample (sampling shoppers),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7541966/,,,,,,,,,
Tocantins: Palmas,Latin America,Brazil,Google,insufficient information on assay,https://ww2.uft.edu.br/index.php/ultimas-noticias/28335-uft-e-prefeitura-de-palmas-realizam-pesquisa-de-anticorpos-para-coronavirus-na-populacao,page 38: https://coronavirus.palmas.to.gov.br/storage/reports/tWmPBmF3uQRGK4FHcluNOWmfnrjS16x1PUDhknMZ.pdf,WONDFO assay possibly used:  https://www.to.gov.br/saude/noticias/governo-inicia-a-distribuicao-dos-testes-rapidos-para-municipios/6shkhvieqxz7,,,,,,,
Mitú,Latin America,Colombia,Google,insufficient evidence of representative sampling,https://www.preprints.org/manuscript/202109.0307/v1,,,,,,,,,
Atahualpa,Latin America,Ecuador,SeroTracker,excludes those younger than 40,https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciaa1055/5876901,https://www.sciencedirect.com/science/article/pii/S1201971220306305#bib0030,phase 2: https://www.tandfonline.com/doi/full/10.1080/20477724.2020.1826152,,,,,,,
41 municipalities,Latin America,Honduras,SeroTracker,non-representative sample (non-probabilistic selection of municipalities + localities within them to include),https://revistas.ucr.ac.cr/index.php/psm/article/view/43261/46175,,,,,,,,,
Nuevo Leon,Latin America,Mexico,SeroTracker,non-representative sample (selection of those at a subway),https://onlinelibrary.wiley.com/doi/10.1002/jmv.27131,,,,,,,,,
León (within Perla Maria Norori Health District),Latin America,Nicaragua,SeroTracker,non-representative sample (unlikely a narrow birth cohort is representative of the general population),https://www.medrxiv.org/content/10.1101/2021.02.25.21252447v1.full,cohort description: https://journals.lww.com/pidj/Fulltext/2021/03000/Risk_Factors_and_Clinical_Profile_of.9.aspx?casa_token=SWV8SEc6E-AAAAAA:a3cN9ihuRuuNK4NeG-EA_0tYskkuOL66VH6VDWaTo5TAaJVcVTsWqGDqanBZCnuzddY_GrTy-C6DcaUCrk_Bomvl,,,,,,,,
10 townships,Latin America,Panama,Google,insufficient information on seroprevalence matched with corresponding sample size(s),http://www.gorgas.gob.pa/wp-content/uploads/2021/03/Seroprevalencia-del-SARS-CoV-2-en-Panama_Informe-Preliminar_1.pdf,http://www.gorgas.gob.pa/wp-content/uploads/2021/10/Seroprevalencia-del-SARS-CoV-2-en-Panama_Informe-Preliminar_2-1.pdf,https://twitter.com/JeanCarrPaul/status/1367135723401457664,http://www.gorgas.gob.pa/,https://twitter.com/JeanCarrPaul/status/1367112163266068483,https://twitter.com/JeanCarrPaul/status/1367136070635319297,https://www.youtube.com/watch?v=qae_v2GTKFY&t=46s,,,
Cajamarca region,Latin America,Peru,Google,unclear study dates; insufficient evidence of representative sampling; insufficient information on assay + sample size,https://www.thelancet.com/journals/lanam/article/PIIS2667-193X(21)00108-3/fulltext,https://www.gob.pe/institucion/minsa/noticias/322318-centro-nacional-de-epidemiologia-y-diresa-cajamarca-culminan-estudio-de-seroprevalencia-en-seis-provincias-de-la-region,https://www.dge.gob.pe/estudio_prevalencia_covid/,,,,,,,
San Martin department (rural population only),Latin America,Peru,Google,"sampling past February 2021, restricted to only the rural population",https://journals.asm.org/doi/10.1128/mSphere.00685-21,https://www.medrxiv.org/content/10.1101/2021.10.19.21265219v1,https://repositorio.upch.edu.pe/handle/20.500.12866/10299,,,,,,,
Ucayali,Latin America,Peru,Google,unclear if sample is representative,https://www.facebook.com/region.deucayali/posts/2800216496963368,https://impetu.pe/2020/12/10/el-50-de-los-ucayalinos-no-se-habria-contagiado-de-covid-19/,https://www.dge.gob.pe/estudio_prevalencia_covid/,https://www.facebook.com/DiresaUcayali2020/videos/trabajo_covid19-la-diresa-ucayali-a-trav%C3%A9s-del-%C3%A1rea-de-epidemiolog%C3%ADa-realizar%C3%A1-e/699635314263728/,http://www.regionucayali.gob.pe/index.php/goreu-informa/notas-de-prensa/item/1095-investigaran-sobre-cuanto-afecto-el-covid-19-en-la-region-ucayali,https://gestion.pe/peru/en-loreto-y-ucayali-seroprevalencia-de-coronavirus-superaria-el-doble-del-promedio-nacional-noticia/?ref=gesr,http://www.regionucayali.gob.pe/index.php/goreu-informa/notas-de-prensa/item/901-minsa-realizara-estudio-de-prevalencia-en-ucayali,,,
national,Europe,Andorra,SeroTracker,wealthy microstate,https://www.sciencedirect.com/science/article/pii/S266677622100096X,https://www.researchsquare.com/article/rs-119323/v1,https://www.govern.ad/comunicats/item/11629-els-tests-d-anticossos-permeten-diagnosticar-78-positius-de-la-covid-19-que-podrien-haver-contagiat-unes-360-persones,https://www.govern.ad/comunicats/item/11577-martinez-benazet-agraeix-a-institucions-voluntaris-i-a-la-poblacio-que-ha-participat-en-l-estudi-nacional-d-anticossos,,,,,,
national,Europe,Austria,SeroTracker,advanced economy,http://www.statistik.at/web_de/statistiken/menschen_und_gesellschaft/gesundheit/covid19/covid19_praevalenz/index.html#reiter_dynamicFurtherInfo,http://www.statistik.at/web_de/presse/124959.html,http://www.statistik.at/wcm/idc/idcplg?IdcService=GET_PDF_FILE&dDocName=124957,http://www.statistik.at/web_de/statistiken/menschen_und_gesellschaft/gesundheit/covid19/124846.html,http://www.statistik.at/wcm/idc/idcplg?IdcService=GET_PDF_FILE&dDocName=124958,https://www.bmbwf.gv.at/Ministerium/Presse/20201211.html,https://www.meduniwien.ac.at/web/en/ueber-uns/news/detailseite/2020/news-im-dezember-2020/47-der-oesterreichischen-bevoelkerung-hatten-mitte/ende-oktober-2020-antikoerper-gegen-sars-cov-2/,,,
narrow selection of communities,Europe,Austria,Twitter,"advanced economy, insufficient evidence of representative sampling, insufficient information on assay",http://web.archive.org/web/20200508035617/https://www.bmbwf.gv.at/Themen/Forschung/Aktuelles/COVID-19-Studie.html,http://www.statistik.at/web_de/frageboegen/private_haushalte/validierungsstudie/index.html,http://www.statistik.at/web_de/presse/123051.html,,,,,,,
Ischgl,Europe,Austria,SeroTracker,"advanced economy  (low population of <30,000)",https://www.nature.com/articles/s43856-021-00007-1,https://www.medrxiv.org/content/10.1101/2020.08.20.20178533v1,https://videocast.nih.gov/watch%3D38084,https://www.ncbi.nlm.nih.gov/nlmcatalog/101769642,https://www.i-med.ac.at/mypoint/news/746359.html,later phase (not included due to <50% of population): https://www.medrxiv.org/content/10.1101/2021.02.19.21252089v1.full-text,,,,
Vienna,Europe,Austria,SeroTracker,advanced economy,https://www.nature.com/articles/s41598-021-89711-5,,,,,,,,,
Weißenkirchen in der Wachau,Europe,Austria,SeroTracker,"advanced economy  (low population of <30,000)",https://www.medrxiv.org/content/10.1101/2020.11.03.20219121v1.full,https://www.frontiersin.org/articles/10.3389/fmed.2021.632942/full,https://www.frontiersin.org/articles/10.3389/fmed.2021.653630/full,https://www.medrxiv.org/content/10.1101/2020.11.20.20232140v1.full,,,,,,
national (performed by Rospotrebnadzor),Europe,Belarus,Google,non-representative sample from Rospotrebnadzor study (see Russia national study from Rospotrebnadzor); active recruitment of volunteers online,https://www.iimmun.ru/iimm/article/view/1798,,,,,,,,,
national,Europe,Croatia,Google,non-representative sample,personal communication from the authors,https://www.mdpi.com/2076-0817/10/6/774/htm,,,,,,,,
national,Europe,Czech Republic,Google,"advanced economy, non-representative sampling (""self-selected volunteers""), people at one insurance company may not represent general population",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3902465,https://www.nature.com/articles/s43856-022-00080-0,,,,,,,,
6 cities,Europe,Czech Republic,Twitter,advanced economy,https://web.archive.org/web/20201104174250/https://covid-imunita.uzis.cz/res/file/prezentace/20200506-dusek.pdf,https://web.archive.org/web/20200629230433/https://covid-imunita.uzis.cz/index.php?pg=o-studii,https://covid-imunita.uzis.cz/res/file/dokumenty/protokol-studie.pdf,https://english.radio.cz/czech-study-shows-extremely-low-level-collective-immunity-covid-19-virus-8101001,https://clinicaltrials.gov/ct2/show/NCT04401085,,,,,
national (SSI),Europe,Denmark,SeroTracker,advanced economy,https://link.springer.com/article/10.1007%2Fs10654-021-00796-8,https://www.medrxiv.org/content/10.1101/2021.04.07.21254703v1,https://files.ssi.dk/notat_foreloebige_resultater_pilotundersoegelse_seropraevalens_COVID-19_29_6_2020,https://covid19.ssi.dk/overvagningsdata/undersoegelser/praevalensundersogelsen,,,,,,
"national (""We Test Denmark"")",Europe,Denmark,Twitter,advanced economy,adjust sensitivity by proportion of seropositives among PCR-positives:  https://www.medrxiv.org/content/10.1101/2021.08.10.21261777v1,https://journals.asm.org/doi/10.1128/Spectrum.01330-21,https://www.vitesterdanmark.dk/,https://www.ssi.dk/aktuelt/nyheder/2020/nasten-en-halv-million-danskere-deltog-i-vi-tester-danmark-nu-gar-fase-2-af-projektet-gar-i-gang,https://helsefonden.dk/en/node/550,https://hjerteforeningen.dk/2020/10/vi-tester-danmark-deltag-og-goer-en-forskel-for-ogsaa-hjertepatienterne/,,,,
Faroe Islands,Europe,Denmark,SeroTracker,advanced economy  (0 reported COVID-19 deaths),https://wwwnc.cdc.gov/eid/article/26/11/20-2736_article,https://wwwnc.cdc.gov/eid/article/28/1/21-0917_article,seroreversion follow-up: https://www.medrxiv.org/content/10.1101/2021.04.19.21255720v2,,,,,,,
national,Europe,Estonia,SeroTracker,"advanced economy, insufficient information on assay",https://www.ut.ee/et/teadus/koroonaviiruse-levimuse-uuring-covid-19-aktiivne-seire#Antikehad,https://ut.ee/et/sisu/koroonaviiruse-levimuse-seire,,,,,,,,
Saaremaa + Tallinn,Europe,Estonia,SeroTracker,"advanced economy, insufficient evidence of representative sampling (unclear if GP practices cover a representative majority of the population in both locations)",https://www.sciencedirect.com/science/article/pii/S0264410X2101001X,https://www.medrxiv.org/content/10.1101/2020.10.21.20216820v1.full,https://www.ctm.ee/et/covid-19/koroonaviirus-sars-cov-2-antikehade-serolevimusuuring-eestis-kahe-piirkonna-testuuring/,https://meditsiiniteadused.ut.ee/et/uudised/koroonaviiruse-levimus-arvatust-kumme-korda-suurem,sero-reversion:  https://www.ctm.ee/et/covid-19/korosero-est-1-jareluuring/,sero-reversion:  https://meditsiiniteadused.ut.ee/et/uudised/tartu-ulikooli-teadlaste-uuringust-selgus-sars-cov-2-antikehade-pusivus,,,,
5 hospital regions,Europe,Finland,Twitter,advanced economy,weeks 16 - 35  :  https://web.archive.org/web/20201028052918/https://www.thl.fi/roko/cov-vaestoserologia/sero_report_weekly_en.html,https://thl.fi/en/web/thlfi-en/-/thl-publishes-weekly-results-of-population-study-on-coronavirus-antibodies,https://thl.fi/en/web/thlfi-en/research-and-development/research-and-projects/serological-population-study-of-the-coronavirus-epidemic/immunological-methods-used-in-the-study,discussed in: https://www.medrxiv.org/content/10.1101/2020.07.13.20153163v3.full,seroreversion for the neutralization assay: https://thl.fi/en/web/thlfi-en/-/thl-s-study-majority-of-people-who-have-had-a-coronavirus-infection-retain-antibodies-for-over-six-months,,,,,
national,Europe,France,SeroTracker,advanced economy,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-021-06973-0,https://www.medrxiv.org/content/10.1101/2021.10.25.21265456v1,https://www.medrxiv.org/content/10.1101/2021.02.24.21252316v1.full-text,https://drees.solidarites-sante.gouv.fr/etudes-et-statistiques/publications/etudes-et-resultats/article/en-mai-2020-4-5-de-la-population-vivant-en-france-metropolitaine-a-developpe,https://web.archive.org/web/20201123191536/https://drees.solidarites-sante.gouv.fr/IMG/pdf/er1167-en.pdf,used in modelling:  https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(21)00064-5/fulltext,,,,
Bouches-du-Rhône (Blood Establishment),Europe,France,Google,"advanced economy, insufficient evidence of representative sampling",https://www.mdpi.com/2077-0383/10/13/2942/htm,,,,,,,,,
"Grand Est, Ile-de-France, Nouvelle-Aquitaine",Europe,France,SeroTracker,advanced economy,https://www.medrxiv.org/content/10.1101/2020.09.16.20195693v1,https://www.sciencedirect.com/science/article/pii/S2666991920000329,https://academic.oup.com/ije/advance-article/doi/10.1093/ije/dyab110/6323645,https://link.springer.com/article/10.1007/s15010-021-01731-5,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2785832,https://www.medrxiv.org/content/10.1101/2020.11.06.20227025v1,https://www.youtube.com/watch?v=2pzPZge1euE,used in modelling:  https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(21)00064-5/fulltext,https://www.clinicaltrials.gov/ct2/show/NCT04392388,
Grand Nancy,Europe,France,SeroTracker,advanced economy,https://www.mdpi.com/1999-4915/13/6/1076/htm,https://www.medrxiv.org/content/10.1101/2021.02.10.21250862v1.full,https://factuel.univ-lorraine.fr/node/16383,https://clinicaltrials.gov/ct2/show/NCT04448769,https://factuel.univ-lorraine.fr/node/14683,https://ichgcp.net/clinical-trials-registry/NCT04448769,,,,
Perpignan: 3 districts,Europe,France,SeroTracker,"advanced economy  (low population of <30,000)",https://bmjopen.bmj.com/content/11/11/e053201,https://www.medrxiv.org/content/10.1101/2021.03.05.21252835v1,https://www.santepubliquefrance.fr/etudes-et-enquetes/scope-une-etude-de-seroprevalence-aupres-d-une-population-vulnerable-de-perpignan,https://www.santepubliquefrance.fr/presse/2020/covid-19-premiers-resultats-d-une-etude-de-seroprevalence-aupres-d-une-population-vulnerable-de-perpignan,,,,,,
national (Corona-BUND / Forsa),Europe,Germany,SeroTracker,advanced economy,https://archive.is/aSaaQ,https://www.ifo.de/en/node/58999,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/AK-Studien/AKS_bestehendeKohorten.html,https://www.ifo.de/node/58999,https://pi-healthsolutions.com/de/forschung-entwicklung/,,,,,
national (SOEP),Europe,Germany,SeroTracker,advanced economy,https://www.medrxiv.org/content/10.1101/2021.11.22.21266711v1,https://jech.bmj.com/content/early/2021/09/27/jech-2021-217653,https://www.medrxiv.org/content/10.1101/2021.06.21.21259001v1.full-text,,,,,,,
7 counties,Europe,Germany,SeroTracker,advanced economy,https://www.aerzteblatt.de/int/archive/article/221933,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3834300,https://www.medrxiv.org/content/10.1101/2021.05.04.21256597v1.full-text,https://www.rki.de/DE/Content/Service/Presse/Pressemitteilungen/2020/05_2020.html,https://hzi-c19-antikoerperstudie.de/,,,,,
Baden-Württemberg: Kupferzell,Europe,Germany,SeroTracker,"advanced economy  (low population of <30,000)",https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.47.2001752,https://bmcresnotes.biomedcentral.com/articles/10.1186/s13104-021-05784-5,https://www.rki.de/DE/Content/Gesundheitsmonitoring/Studien/cml-studie/Factsheet_Kupferzell.html,https://www.rki.de/EN/Content/infections/epidemiology/outbreaks/COVID-19/AK-Studien-english/Sero_General.html,https://www.rki.de/EN/Content/Health_Monitoring/Health_Reporting/GBEDownloadsJ/JoHM_S5_2020_Study_protocol_CORONA_MONITORING_lokal.pdf?__blob=publicationFile,,,,,
Bavaria: Bad Feilnbach ,Europe,Germany,SeroTracker,"advanced economy  (low population of <30,000)",https://bmcresnotes.biomedcentral.com/articles/10.1186/s13104-021-05784-5,https://www.rki.de/DE/Content/Gesundheitsmonitoring/Studien/cml-studie/Factsheet_Bad_Feilnbach.html,https://www.rki.de/EN/Content/infections/epidemiology/outbreaks/COVID-19/AK-Studien-english/Sero_General.html,https://www.rki.de/EN/Content/Health_Monitoring/Health_Reporting/GBEDownloadsJ/JoHM_S5_2020_Study_protocol_CORONA_MONITORING_lokal.pdf?__blob=publicationFile,,,,,,
Bavaria: Munich,Europe,Germany,SeroTracker,advanced economy,https://www.mdpi.com/1660-4601/18/7/3572/htm,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-021-06589-4,http://www.klinikum.uni-muenchen.de/Abteilung-fuer-Infektions-und-Tropenmedizin/download/de/KoCo19/20201207_KoCo10_Epi.pdf,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3745128,http://www.klinikum.uni-muenchen.de/Abteilung-fuer-Infektions-und-Tropenmedizin/de/COVID-19/KoCo19/index.html,http://www.klinikum.uni-muenchen.de/Abteilung-fuer-Infektions-und-Tropenmedizin/de/COVID-19/KoCo19/FAQ/index.html,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-020-09164-9,https://www.medrxiv.org/content/10.1101/2021.01.13.21249735v1,https://www.medrxiv.org/content/10.1101/2021.10.01.21263052v1.full-text,
Bavaria: Straubing,Europe,Germany,SeroTracker,advanced economy,https://www.rki.de/DE/Content/Gesundheitsmonitoring/Studien/cml-studie/Factsheet_Straubing.html,https://www.rki.de/EN/Content/infections/epidemiology/outbreaks/COVID-19/AK-Studien-english/Sero_General.html,https://www.rki.de/EN/Content/Health_Monitoring/Health_Reporting/GBEDownloadsJ/JoHM_S5_2020_Study_protocol_CORONA_MONITORING_lokal.pdf?__blob=publicationFile,,,,,,,
Bavaria: Tirschenreuth district,Europe,Germany,SeroTracker,advanced economy,https://www.mdpi.com/1999-4915/13/6/1118/htm,https://www.medrxiv.org/content/10.1101/2021.03.29.21254343v1.full-text,https://www.mdpi.com/2075-4418/11/10/1843,https://www.uk-erlangen.de/presse/pressemitteilungen/ansicht/detail/covid-19-immunitaet-im-landkreis-tirschenreuth-1/,https://www.med.fau.de/2020/08/24/covid-19-immunitaet-im-landkreis-tirschenreuth/,https://www.kreis-tir.de/buergerservice/aktuelles/news/news/detail/News/erste-runde-der-blutabnahmen-erfolgreich-abgeschlossen/,https://www.uni-regensburg.de/pressearchiv/pressemitteilung/1066465.html,https://www.kreis-tir.de/fileadmin/user_upload/Landratsamt/20-06-15_Pressetext_AK_Studie_Tirschenreuth.pdf,https://www.kreis-tir.de/fachbereiche/gesundheitsamt/informationen-zum-corona-virus/veroeffentlichungen/,
Bavaria: Würzburg,Europe,Germany,Google,"advanced economy, insufficient evidence of representative sampling",https://pubmed.ncbi.nlm.nih.gov/34638159/,https://www.uni-wuerzburg.de/aktuelles/einblick/single/news/ergebnisse-aus-staab-covid/,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/AK-Studien/AKS_bestehendeKohorten.html,https://www.ukw.de/behandlungszentren/dzhi/ambulante-behandlung/staab-covid-programm/,,,,,,
Berlin: Mitte,Europe,Germany,SeroTracker,advanced economy,https://www.rki.de/DE/Content/Gesundheitsmonitoring/Studien/cml-studie/Factsheet_Berlin-Mitte.html,https://www.rki.de/EN/Content/infections/epidemiology/outbreaks/COVID-19/AK-Studien-english/Sero_General.html,https://www.rki.de/EN/Content/Health_Monitoring/Health_Reporting/GBEDownloadsJ/JoHM_S5_2020_Study_protocol_CORONA_MONITORING_lokal.pdf?__blob=publicationFile,,,,,,,
North Rhine-Westphalia: Bonn,Europe,Germany,SeroTracker,"advanced economy, excludes those younger than 30",https://www.nature.com/articles/s41467-021-22351-5,https://www.medrxiv.org/content/10.1101/2020.08.24.20181206v1,,,,,,,,
North Rhine-Westphalia: Gangelt,Europe,Germany,SeroTracker,"advanced economy  (low population of <30,000)",https://www.nature.com/articles/s41467-020-19509-y,https://www.medrxiv.org/content/10.1101/2020.05.04.20090076v2,https://www.medrxiv.org/content/10.1101/2022.01.26.22269805v1.full-text,,,,,,,
Rhineland-Palatinate: Mainz city and Mainz-Bingen district,Europe,Germany,Google,"advanced economy, sampling past February 2021, non-representative sample (excludes those younger than 25)",https://www.unimedizin-mainz.de/gcs/overview.html?L=1,https://www.rki.de/EN/Content/infections/epidemiology/outbreaks/COVID-19/EB-37-2021-Art_02_en.pdf?__blob=publicationFile,https://www.unimedizin-mainz.de/presse/pressemitteilungen/aktuellemitteilungen/newsdetail/article/neue-studienergebnisse-belegen-haeufige-verbreitung-von-long-covid-symptomen-nach-sars-cov-2-infektion.html,https://ne-np.facebook.com/grossgerauer.echo/videos/ergebnisse-der-gutenberg-covid-19-studie/540567267101764/?__so__=permalink&__rv__=related_videos,https://www.unimedizin-mainz.de/GCS/dashboard/#/app/pages/AktuelleErgebnisse/ergebnisse,https://www.unimedizin-mainz.de/gcs/overview.html,https://www.youtube.com/watch?v=xNccrZ-anP8,https://www.rki.de/EN/Content/infections/epidemiology/outbreaks/COVID-19/AK-Studien-english/AKS_Map.html,,
Saarland,Europe,Germany,Google,"advanced economy, insufficient information on assay",https://www.cdu-fraktion-saar.de/erste-bilanz-der-antikoerperstudie-saar-vorgestellt/,https://www.sr.de/sr/home/nachrichten/politik_wirtschaft/zwischenergebnis_antikoerperstudie_saarland_100.html,https://www.sr.de/sr/home/nachrichten/politik_wirtschaft/antikoerperstudie_saarland_startet_100.html,https://www.uniklinikum-saarland.de/de/einrichtungen/kliniken_institute/infektionsmedizin/virologie/saarcops/,https://www.rki.de/EN/Content/infections/epidemiology/outbreaks/COVID-19/AK-Studien-english/Sero_General.html,,,,,
Thuringia: Neustadt-am-Rennsteig,Europe,Germany,SeroTracker,"advanced economy  (low population of <30,000)",https://www.sciencedirect.com/science/article/pii/S1198743X20307059?via%3Dihub,https://www.medrxiv.org/content/10.1101/2020.07.15.20154112v1,,,,,,,,
greater Reykjavik area (random sample only),Europe,Iceland,SeroTracker,advanced economy,"random sample on page 9, table S4, and table S6 of supplementary appendix 1:  https://www.nejm.org/doi/full/10.1056/NEJMoa2026116",,,,,,,,,
national,Europe,Italy,SeroTracker,advanced economy,https://www.istat.it/it/archivio/246156,http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4998,https://www.istat.it/it/archivio/243340,https://www.tandfonline.com/doi/abs/10.1080/20477724.2020.1827617,https://www.mattioli1885journals.com/index.php/actabiomedica/article/view/12241,,,,,
Ariano Irpino,Europe,Italy,SeroTracker,"advanced economy, non-representative sample (""convenience sample"")",https://www.future-science.com/doi/10.2144/fsoa-2020-0203,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7802431/,https://www.giustizianews24.it/2020/05/28/coronavirus-lincubo-senza-fine-di-ariano-irpino-60-positivi-al-tampone-dopo-i-test-sierologici/,,,,,,,
Caldari Ortona,Europe,Italy,SeroTracker,"advanced economy  (low population of <30,000)",https://www.mdpi.com/2076-2607/8/11/1711/htm,https://www.facebook.com/permalink.php?story_fbid=2641849239395478&id=1570274993219580,https://www.rete8.it/cronaca/345test-sierologici-12-cittadini-caldari-ortona-positivi-con-anticorpi-al-covid-19/,,,,,,,
Castiglione D'Adda,Europe,Italy,SeroTracker,"advanced economy  (low population of <30,000)",https://www.journalofinfection.com/article/S0163-4453(20)30629-0/fulltext,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0246513,https://www.medrxiv.org/content/10.1101/2020.06.06.20124081v1,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3668431,https://poseidon01.ssrn.com/delivery.php?ID=558024120114001065081066013064123028001081036015093092028031018024009109037103017079096121114071083006102098121117072079074008093114071058022020074024027021064063126023019000072003049015071014100047030099039009013120000005106006068087125115090104079072113024028026110091105086127123020068013&EXT=pdf&INDEX=TRUE,https://www.medrxiv.org/content/10.1101/2020.06.24.20138875v2,,,,
Cogne,Europe,Italy,SeroTracker,"advanced economy  (low population of <30,000)",https://www.medrxiv.org/content/10.1101/2021.03.19.21253962v1.full-text,,,,,,,,,
Lodi (only randomly selected general population),Europe,Italy,SeroTracker,advanced economy,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3650227,,,,,,,,,
"South Tyrol, excludes Val Gardena",Europe,Italy,Twitter,advanced economy,https://astat.provinz.bz.it/de/aktuelles-publikationen-info.asp?news_action=4&news_article_id=642924,https://www.suedtirolnews.it/chronik/erste-ergebnisse-der-landesweiten-covid-19-studie,https://sabes.it/de/news.asp?aktuelles_action=4&aktuelles_article_id=641214,,,,,,,
Trento: 5 municipalities,Europe,Italy,SeroTracker,"advanced economy  (low population of <30,000)",https://www.clinicalmicrobiologyandinfection.com/article/S1198-743X(20)30709-6/fulltext#secsectitle0045,follow-up: https://www.medrxiv.org/content/10.1101/2020.11.11.20229062v2.full-text,,https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciab556/6301134,https://www.medrxiv.org/content/10.1101/2021.04.14.21255502v1.full-text,,,,,
Val Gardena and associated regions,Europe,Italy,SeroTracker,"advanced economy  (low population of <30,000)",https://www.cambridge.org/core/journals/epidemiology-and-infection/article/prevalence-and-determinants-of-serum-antibodies-to-sarscov2-in-the-general-population-of-the-gardena-valley/43FAD8F3CD0983D4427D3A10D1AC8063,https://www.medrxiv.org/content/10.1101/2021.03.19.21253883v1.full-text,"https://astat.provinz.bz.it/de/aktuelles-publikationen-info.asp?news_action=300&news_image_id=1074600  (""Study on the prevalence of Covid-19 in the Val Gardena - June 2020"")",,,,,,,
